Date,M0,M1,M2
Jan-80,"2,113","6,214","17,135"
Feb-80,"2,182","6,353","17,221"
Mar-80,"2,218","7,061","17,844"
Apr-80,"2,656","6,574","17,632"
May-80,"2,674","6,642","18,070"
Jun-80,"2,730","7,153","18,573"
Jul-80,"2,836","7,372","19,406"
Aug-80,"2,947","7,355","19,442"
Sep-80,"3,803","7,806","20,335"
Oct-80,"3,424","8,057","20,676"
Nov-80,"3,501","8,486","21,236"
Dec-80,"3,524","8,689","21,707"
Jan-81,"3,553","8,817","22,274"
Feb-81,"3,626","8,856","22,386"
Mar-81,"3,611","9,191","23,273"
Apr-81,"3,827","9,530","24,086"
May-81,"3,954","9,498","24,214"
Jun-81,"3,859","9,670","24,104"
Jul-81,"3,853","9,979","25,039"
Aug-81,"3,891","9,884","24,795"
Sep-81,"3,972","10,116","25,429"
Oct-81,"4,031","10,577","26,023"
Nov-81,"4,199","11,013","26,580"
Dec-81,"4,101","11,063","26,889"
Jan-82,"4,125","10,581","26,418"
Feb-82,"4,243","10,723","26,602"
Mar-82,"3,861","11,790","27,738"
Apr-82,"3,994","11,476","27,384"
May-82,"4,033","11,199","27,294"
Jun-82,"3,983","11,671","27,709"
Jul-82,"4,074","11,971","28,216"
Aug-82,"4,003","12,335","28,384"
Sep-82,"3,706","12,761","29,265"
Oct-82,"3,687","12,255","30,119"
Nov-82,"3,835","13,088","30,601"
Dec-82,"3,652","13,146","31,356"
Jan-83,"3,670","13,339","31,464"
Feb-83,"3,715","13,157","31,645"
Mar-83,"3,885","13,865","33,018"
Apr-83,"3,866","14,112","32,272"
May-83,"3,920","14,761","34,418"
Jun-83,"3,890","15,553","34,672"
Jul-83,"3,939","15,008","34,907"
Aug-83,"3,893","15,185","35,060"
Sep-83,"4,039","16,761","37,047"
Oct-83,"4,016","16,684","36,682"
Nov-83,"4,156","17,156","37,366"
Dec-83,"4,160","18,100","38,465"
Jan-84,"4,136","18,845","38,905"
Feb-84,"4,180","19,060","39,321"
Mar-84,"4,317","19,519","39,614"
Apr-84,"4,391","20,241","40,633"
May-84,"4,491","20,286","41,110"
Jun-84,"4,484","20,900","41,484"
Jul-84,"4,487","21,138","42,605"
Aug-84,"4,505","21,681","43,199"
Sep-84,"4,615","22,487","45,287"
Oct-84,"4,595","23,008","46,311"
Nov-84,"4,873","24,192","47,671"
Dec-84,"4,815","24,185","47,825"
Jan-85,"4,708","24,672","48,078"
Feb-85,"4,703","24,979","48,526"
Mar-85,"4,784","25,023","49,123"
Apr-85,"4,739","24,914","49,187"
May-85,"4,822","24,875","50,021"
Jun-85,"4,859","25,062","50,480"
Jul-85,"4,882","25,400","50,961"
Aug-85,"4,964","25,599","51,681"
Sep-85,"5,031","23,614","51,937"
Oct-85,"5,008","22,161","52,956"
Nov-85,"5,341","21,758","52,822"
Dec-85,"5,417","22,423","54,577"
Jan-86,"5,204","21,520","52,982"
Feb-86,"5,267","22,013","54,711"
Mar-86,"5,529","22,350","54,024"
Apr-86,"5,124","22,427","54,226"
May-86,"5,239","21,975","54,464"
Jun-86,"5,184","24,119","54,673"
Jul-86,"5,343","23,626","54,551"
Aug-86,"5,310","23,837","54,737"
Sep-86,"5,344","24,233","55,248"
Oct-86,"5,387","24,511","56,003"
Nov-86,"5,670","24,458","56,188"
Dec-86,"5,765","25,293","56,921"
Jan-87,"5,473","25,059","55,313"
Feb-87,"5,462","26,005","56,599"
Mar-87,"5,682","26,852","57,129"
Apr-87,"5,830","27,794","58,397"
May-87,"6,009","27,499","58,843"
Jun-87,"5,904","28,331","59,131"
Jul-87,"6,069","28,901","59,587"
Aug-87,"6,095","28,838","60,093"
Sep-87,"6,238","30,393","62,790"
Oct-87,"6,343","30,464","64,619"
Nov-87,"6,712","32,211","67,636"
Dec-87,"6,809","34,398","69,464"
Jan-88,"6,592","34,334","69,972"
Feb-88,"6,834","34,226","71,940"
Mar-88,"7,448","37,031","75,614"
Apr-88,"7,209","36,208","75,376"
May-88,"7,427","36,385","76,968"
Jun-88,"7,415","38,895","78,923"
Jul-88,"7,613","37,233","78,621"
Aug-88,"8,294","37,840","82,506"
Sep-88,"8,622","39,434","86,326"
Oct-88,"8,623","40,342","87,433"
Nov-88,"9,279","40,210","89,360"
Dec-88,"9,305","42,357","93,941"
Jan-89,"8,926","39,564","93,139"
Feb-89,"9,096","40,684","95,737"
Mar-89,"9,888","44,189","100,882"
Apr-89,"9,740","41,242","98,893"
May-89,"10,232","42,526","99,881"
Jun-89,"10,047","43,727","102,369"
Jul-89,"10,262","40,865","103,301"
Aug-89,"10,470","44,004","106,860"
Sep-89,"10,525","44,432","109,691"
Oct-89,"10,726","47,414","113,738"
Nov-89,"11,372","47,472","115,655"
Dec-89,"12,059","46,419","119,022"
Jan-90,"10,925","50,068","119,454"
Feb-90,"10,902","48,746","121,163"
Mar-90,"11,638","52,170","124,200"
Apr-90,"11,556","49,676","122,731"
May-90,"11,834","48,976","123,458"
Jun-90,"11,738","50,173","122,874"
Jul-90,"11,920","46,463","121,553"
Aug-90,"11,909","47,616","124,069"
Sep-90,"12,107","47,027","124,001"
Oct-90,"12,239","47,192","125,418"
Nov-90,"12,790","50,775","130,295"
Dec-90,"13,329","53,419","134,244"
Jan-91,"12,262","50,329","133,075"
Feb-91,"12,560","56,979","141,904"
Mar-91,"12,975","56,574","144,489"
Apr-91,"12,647","54,969","143,243"
May-91,"12,485","57,369","147,025"
Jun-91,"11,959","57,888","147,706"
Jul-91,"12,102","57,873","147,683"
Aug-91,"11,981","59,434","150,139"
Sep-91,"12,143","58,074","151,994"
Oct-91,"12,131","58,465","152,178"
Nov-91,"12,638","62,476","157,379"
Dec-91,"13,303","60,910","155,363"
Jan-92,"11,950","58,098","154,965"
Feb-92,"12,000","61,644","157,762"
Mar-92,"12,628","64,180","161,099"
